"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"7160","RT @gmanews: POLL: Sa tingin n'yo, sinong presidentiable ang nakasagot nang sapat sa mga tanong? #PiliPinasDebates2016",FALSE,0,NA,2016-03-22 07:55:38,FALSE,NA,"712185958435659776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KeniticChoy",423,TRUE,FALSE,NA,NA
"7161","RT @gretchenho: The last one. Who's excited for this? I am!! @bayanmo @abscbnnews #BayanMoiPatrolMo #PiliPinasDebates2016 https://t.co/VQ4r<U+2026>",FALSE,0,NA,2016-03-22 07:55:21,FALSE,NA,"712185885358292992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vfkelmeckis",144,TRUE,FALSE,NA,NA
"7162","RT @1Dbiggestband: EVERYONE SHOULD RETWEET THIS <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> 

#PiliPinasDebates2016 https://t.co/SpHVAozuYZ",FALSE,0,NA,2016-03-22 07:55:04,FALSE,NA,"712185812893323264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","timlopez22",307,TRUE,FALSE,NA,NA
"7163","RT @cocoy: #PiliPinasDebates2016 on why Mar Roxas https://t.co/wCbC9PeTTc",FALSE,0,NA,2016-03-22 07:54:47,FALSE,NA,"712185742563237888",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TeresitaTReyes",7,TRUE,FALSE,NA,NA
"7164","RT @gmanews: #PiliPinasDebates2016: Amid debate delay, @RRD_Davao, @SenGracePOE joke: Let's duet 'Bakit Ngayong Ka Lang?' https://t.co/Clys<U+2026>",FALSE,0,NA,2016-03-22 07:54:40,FALSE,NA,"712185715396886528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lerraruthmendo1",327,TRUE,FALSE,NA,NA
"7165","RT @IamEthylGabison: Kapag napamura kaya si Mayor Duterte magpapakyu sign kaya yung nagsign language sa TV screen? Charot! #PiliPinasDebate<U+2026>",FALSE,0,NA,2016-03-22 07:54:16,FALSE,NA,"712185613957500929",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","johnvanjessie16",3376,TRUE,FALSE,NA,NA
"7166","RT @itsmekarlooo: Probably Sen. Miriam's reactions while watching #PiliPinasDebates2016 #PiliPinas2016
#PHVoteSantiago https://t.co/1JZbCpJ<U+2026>",FALSE,0,NA,2016-03-22 07:54:09,FALSE,NA,"712185584261816320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vfkelmeckis",81,TRUE,FALSE,NA,NA
"7167","RT @mrparojinog: Dalawa lng choice ko sa presidente pero sa vice-pres solid marcos ako <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>

#PiliPinasDebates2016",FALSE,0,NA,2016-03-22 07:53:24,FALSE,NA,"712185395300081664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AguirreApos",40,TRUE,FALSE,NA,NA
"7168","RT @mrparojinog: Poe and Duterte <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>

#PiliPinasDebates2016",FALSE,0,NA,2016-03-22 07:53:19,FALSE,NA,"712185371753209857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AguirreApos",136,TRUE,FALSE,NA,NA
"7169","RT @vicegandalines: Poe is on point.
Duterte has a point.
Binay is pointless.
Mar is ahhhh POINTangina.
#PiliPinasDebates2016",FALSE,0,NA,2016-03-22 07:51:59,FALSE,NA,"712185037916012544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rgmpascual",970,TRUE,FALSE,NA,NA
